;filename;components;SMILES;CAS;InChI;Temperature, K;Pressure, kPa;Relative permittivity at zero frequency;Relative permittivity at zero frequency_std
118521;j.jct.2007.09.004;ethanol, 2-propoxy-;CCCOCCO;83855-85-0;InChIKey=YEYKMVJDLWJFOA-UHFFFAOYSA-N;293.15;101.0;11.76;0.02
118522;j.jct.2007.09.004;ethanol, 2-propoxy-;CCCOCCO;83855-85-0;InChIKey=YEYKMVJDLWJFOA-UHFFFAOYSA-N;298.15;101.0;11.5;0.02
118523;j.jct.2007.09.004;ethanol, 2-propoxy-;CCCOCCO;83855-85-0;InChIKey=YEYKMVJDLWJFOA-UHFFFAOYSA-N;303.15;101.0;11.19;0.02
118527;j.jct.2007.09.004;bis(2-hydroxyethyl) ether;OCCOCCO;111-46-6;InChIKey=MTHSVFCYNBDYFN-UHFFFAOYSA-N;293.15;101.0;31.81;0.02
118528;j.jct.2007.09.004;bis(2-hydroxyethyl) ether;OCCOCCO;111-46-6;InChIKey=MTHSVFCYNBDYFN-UHFFFAOYSA-N;298.15;101.0;30.95;0.02
118529;j.jct.2007.09.004;bis(2-hydroxyethyl) ether;OCCOCCO;111-46-6;InChIKey=MTHSVFCYNBDYFN-UHFFFAOYSA-N;303.15;101.0;30.03;0.02
118533;j.jct.2007.09.004;triethylene glycol;OCCOCCOCCO;118662-30-9;InChIKey=ZIBGPFATKBEMQZ-UHFFFAOYSA-N;293.15;101.0;23.69;0.02
118534;j.jct.2007.09.004;triethylene glycol;OCCOCCOCCO;118662-30-9;InChIKey=ZIBGPFATKBEMQZ-UHFFFAOYSA-N;298.15;101.0;23.07;0.02
118535;j.jct.2007.09.004;triethylene glycol;OCCOCCOCCO;118662-30-9;InChIKey=ZIBGPFATKBEMQZ-UHFFFAOYSA-N;303.15;101.0;22.43;0.02
118539;j.jct.2007.09.004;tetraethylene glycol;OCCOCCOCCOCCO;79688-08-7;InChIKey=UWHCKJMYHZGTIT-UHFFFAOYSA-N;293.15;101.325;20.44;0.02
118540;j.jct.2007.09.004;tetraethylene glycol;OCCOCCOCCOCCO;79688-08-7;InChIKey=UWHCKJMYHZGTIT-UHFFFAOYSA-N;298.15;101.325;19.91;0.02
118541;j.jct.2007.09.004;tetraethylene glycol;OCCOCCOCCOCCO;79688-08-7;InChIKey=UWHCKJMYHZGTIT-UHFFFAOYSA-N;303.15;101.325;19.35;0.02
133409;j.jct.2008.02.015;triglyme;COCCOCCOCCOC;70992-85-7;InChIKey=YFNKIDBQEZZDLK-UHFFFAOYSA-N;288.15;101.325;7.884;0.07884
133410;j.jct.2008.02.015;triglyme;COCCOCCOCCOC;70992-85-7;InChIKey=YFNKIDBQEZZDLK-UHFFFAOYSA-N;298.15;101.325;7.578;0.07578
133411;j.jct.2008.02.015;triglyme;COCCOCCOCCOC;70992-85-7;InChIKey=YFNKIDBQEZZDLK-UHFFFAOYSA-N;308.15;101.325;7.328;0.07328
133412;j.jct.2008.02.015;triglyme;COCCOCCOCCOC;70992-85-7;InChIKey=YFNKIDBQEZZDLK-UHFFFAOYSA-N;318.15;101.325;7.093;0.07093
133413;j.jct.2008.02.015;triglyme;COCCOCCOCCOC;70992-85-7;InChIKey=YFNKIDBQEZZDLK-UHFFFAOYSA-N;328.15;101.325;6.896;0.06896
133419;j.jct.2008.02.015;dimethyl carbonate;COC(=O)OC;616-38-6;InChIKey=IEJIGPNLZYLLBP-UHFFFAOYSA-N;288.15;101.325;3.131;0.03131
133420;j.jct.2008.02.015;dimethyl carbonate;COC(=O)OC;616-38-6;InChIKey=IEJIGPNLZYLLBP-UHFFFAOYSA-N;298.15;101.325;3.134;0.03134
133421;j.jct.2008.02.015;dimethyl carbonate;COC(=O)OC;616-38-6;InChIKey=IEJIGPNLZYLLBP-UHFFFAOYSA-N;308.15;101.325;3.141;0.03141
133422;j.jct.2008.02.015;dimethyl carbonate;COC(=O)OC;616-38-6;InChIKey=IEJIGPNLZYLLBP-UHFFFAOYSA-N;318.15;101.325;3.147;0.03147
133423;j.jct.2008.02.015;dimethyl carbonate;COC(=O)OC;616-38-6;InChIKey=IEJIGPNLZYLLBP-UHFFFAOYSA-N;328.15;101.325;3.149;0.03149
133429;j.jct.2008.02.015;diethyl carbonate;CCOC(=O)OCC;105-58-8;InChIKey=OIFBSDVPJOWBCH-UHFFFAOYSA-N;288.15;101.325;2.841;0.02841
133430;j.jct.2008.02.015;diethyl carbonate;CCOC(=O)OCC;105-58-8;InChIKey=OIFBSDVPJOWBCH-UHFFFAOYSA-N;298.15;101.325;2.834;0.02834
133431;j.jct.2008.02.015;diethyl carbonate;CCOC(=O)OCC;105-58-8;InChIKey=OIFBSDVPJOWBCH-UHFFFAOYSA-N;308.15;101.325;2.836;0.02836
133432;j.jct.2008.02.015;diethyl carbonate;CCOC(=O)OCC;105-58-8;InChIKey=OIFBSDVPJOWBCH-UHFFFAOYSA-N;318.15;101.325;2.837;0.02837
133433;j.jct.2008.02.015;diethyl carbonate;CCOC(=O)OCC;105-58-8;InChIKey=OIFBSDVPJOWBCH-UHFFFAOYSA-N;328.15;101.325;2.839;0.02839
144938;j.jct.2008.09.006;nonane;CCCCCCCCC;111-84-2;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;288.15;101.325;1.993;0.01993
144939;j.jct.2008.09.006;nonane;CCCCCCCCC;111-84-2;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;298.15;101.325;1.98;0.0198
144940;j.jct.2008.09.006;nonane;CCCCCCCCC;111-84-2;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;308.15;101.325;1.966;0.01966
144941;j.jct.2008.09.006;nonane;CCCCCCCCC;111-84-2;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;318.15;101.325;1.953;0.01953
144942;j.jct.2008.09.006;nonane;CCCCCCCCC;111-84-2;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;328.15;101.325;1.94;0.0194
144943;j.jct.2008.09.006;nonane;CCCCCCCCC;111-84-2;InChIKey=BKIMMITUMNQMOS-UHFFFAOYSA-N;338.15;101.325;1.927;0.01927
144950;j.jct.2008.09.006;1,2-dimethoxyethane;COCCOC;173201-80-4;InChIKey=XTHFKEDIFFGKHM-UHFFFAOYSA-N;288.15;101.325;7.408;0.07408
144951;j.jct.2008.09.006;1,2-dimethoxyethane;COCCOC;173201-80-4;InChIKey=XTHFKEDIFFGKHM-UHFFFAOYSA-N;298.15;101.325;7.069;0.07069
144952;j.jct.2008.09.006;1,2-dimethoxyethane;COCCOC;173201-80-4;InChIKey=XTHFKEDIFFGKHM-UHFFFAOYSA-N;308.15;101.325;6.757;0.06757
144953;j.jct.2008.09.006;1,2-dimethoxyethane;COCCOC;173201-80-4;InChIKey=XTHFKEDIFFGKHM-UHFFFAOYSA-N;318.15;101.325;6.456;0.06456
144954;j.jct.2008.09.006;1,2-dimethoxyethane;COCCOC;173201-80-4;InChIKey=XTHFKEDIFFGKHM-UHFFFAOYSA-N;328.15;101.325;6.184;0.06184
144955;j.jct.2008.09.006;1,2-dimethoxyethane;COCCOC;173201-80-4;InChIKey=XTHFKEDIFFGKHM-UHFFFAOYSA-N;338.15;101.325;5.922;0.05922
144965;j.jct.2008.09.006;2,5,8-trioxanonane;COCCOCCOC;142939-39-7;InChIKey=SBZXBUIDTXKZTM-UHFFFAOYSA-N;288.15;101.325;7.648;0.07648
144966;j.jct.2008.09.006;2,5,8-trioxanonane;COCCOCCOC;142939-39-7;InChIKey=SBZXBUIDTXKZTM-UHFFFAOYSA-N;298.15;101.325;7.363;0.07363
144967;j.jct.2008.09.006;2,5,8-trioxanonane;COCCOCCOC;142939-39-7;InChIKey=SBZXBUIDTXKZTM-UHFFFAOYSA-N;308.15;101.325;7.116;0.07116
144968;j.jct.2008.09.006;2,5,8-trioxanonane;COCCOCCOC;142939-39-7;InChIKey=SBZXBUIDTXKZTM-UHFFFAOYSA-N;318.15;101.325;6.886;0.06886
144969;j.jct.2008.09.006;2,5,8-trioxanonane;COCCOCCOC;142939-39-7;InChIKey=SBZXBUIDTXKZTM-UHFFFAOYSA-N;328.15;101.325;6.637;0.06637
144970;j.jct.2008.09.006;2,5,8-trioxanonane;COCCOCCOC;142939-39-7;InChIKey=SBZXBUIDTXKZTM-UHFFFAOYSA-N;338.15;101.325;6.404;0.06404
199698;j.jct.2010.09.008;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;288.15;101.325;1.94;0.0194
199699;j.jct.2010.09.008;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;298.15;101.325;1.93;0.0193
199700;j.jct.2010.09.008;heptane;CCCCCCC;142-82-5;InChIKey=IMNFDUFMRHMDMM-UHFFFAOYSA-N;308.15;101.325;1.92;0.0192
199704;j.jct.2010.09.008;1,2-dimethoxyethane;COCCOC;173201-80-4;InChIKey=XTHFKEDIFFGKHM-UHFFFAOYSA-N;288.15;101.325;7.41;0.0741
199705;j.jct.2010.09.008;1,2-dimethoxyethane;COCCOC;173201-80-4;InChIKey=XTHFKEDIFFGKHM-UHFFFAOYSA-N;298.15;101.325;7.07;0.0707
199706;j.jct.2010.09.008;1,2-dimethoxyethane;COCCOC;173201-80-4;InChIKey=XTHFKEDIFFGKHM-UHFFFAOYSA-N;308.15;101.325;6.75;0.0675
199710;j.jct.2010.09.008;2,5,8-trioxanonane;COCCOCCOC;142939-39-7;InChIKey=SBZXBUIDTXKZTM-UHFFFAOYSA-N;288.15;101.325;7.69;0.0769
199711;j.jct.2010.09.008;2,5,8-trioxanonane;COCCOCCOC;142939-39-7;InChIKey=SBZXBUIDTXKZTM-UHFFFAOYSA-N;298.15;101.325;7.4;0.074
199712;j.jct.2010.09.008;2,5,8-trioxanonane;COCCOCCOC;142939-39-7;InChIKey=SBZXBUIDTXKZTM-UHFFFAOYSA-N;308.15;101.325;7.12;0.0712
199716;j.jct.2010.09.008;triglyme;COCCOCCOCCOC;70992-85-7;InChIKey=YFNKIDBQEZZDLK-UHFFFAOYSA-N;288.15;101.325;7.89;0.0789
199717;j.jct.2010.09.008;triglyme;COCCOCCOCCOC;70992-85-7;InChIKey=YFNKIDBQEZZDLK-UHFFFAOYSA-N;298.15;101.325;7.63;0.0763
199718;j.jct.2010.09.008;triglyme;COCCOCCOCCOC;70992-85-7;InChIKey=YFNKIDBQEZZDLK-UHFFFAOYSA-N;308.15;101.325;7.38;0.0738
199722;j.jct.2010.09.008;dimethoxytetraglycol;COCCOCCOCCOCCOC;143-24-8;InChIKey=ZUHZGEOKBKGPSW-UHFFFAOYSA-N;288.15;101.325;8.04;0.0804
199723;j.jct.2010.09.008;dimethoxytetraglycol;COCCOCCOCCOCCOC;143-24-8;InChIKey=ZUHZGEOKBKGPSW-UHFFFAOYSA-N;298.15;101.325;7.78;0.0778
199724;j.jct.2010.09.008;dimethoxytetraglycol;COCCOCCOCCOCCOC;143-24-8;InChIKey=ZUHZGEOKBKGPSW-UHFFFAOYSA-N;308.15;101.325;7.55;0.0755
233860;j.jct.2011.07.021;2-ethyl-1-hexanol;CCCCC(CC)CO;704-76-7;InChIKey=YIWUKEYIRIRTPP-UHFFFAOYSA-N;298.2;101.325;7.353;0.005
233861;j.jct.2011.07.021;2-ethyl-1-hexanol;CCCCC(CC)CO;704-76-7;InChIKey=YIWUKEYIRIRTPP-UHFFFAOYSA-N;308.2;101.325;6.361;0.005
233862;j.jct.2011.07.021;2-ethyl-1-hexanol;CCCCC(CC)CO;704-76-7;InChIKey=YIWUKEYIRIRTPP-UHFFFAOYSA-N;318.2;101.325;5.522;0.005
233878;j.jct.2011.07.021;1,4-dioxane;C1COCCO1;28347-88-8;InChIKey=RYHBNJHYFVUHQT-UHFFFAOYSA-N;298.2;101.325;2.228;0.005
233879;j.jct.2011.07.021;1,4-dioxane;C1COCCO1;28347-88-8;InChIKey=RYHBNJHYFVUHQT-UHFFFAOYSA-N;308.2;101.325;2.21;0.005
233880;j.jct.2011.07.021;1,4-dioxane;C1COCCO1;28347-88-8;InChIKey=RYHBNJHYFVUHQT-UHFFFAOYSA-N;318.2;101.325;2.187;0.005
538737;j.fluid.2008.01.024;glycerol;OCC(O)CO;8043-29-6;InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N;303.15;101.0;41.17;0.12351
538738;j.fluid.2008.01.024;formamide;NC=O;23296-41-5;InChIKey=ZHNUHDYFZUAESO-UHFFFAOYSA-N;303.15;101.0;106.14;0.31842
538739;j.fluid.2008.01.024;N,N-dimethylformamide;CN(C)C=O;68-12-2;InChIKey=ZMXDDKWLCZADIW-UHFFFAOYSA-N;303.15;101.0;36.55;0.10965
538740;j.fluid.2008.01.024;N,N-dimethylacetamide;CN(C)C(C)=O;127-19-5;InChIKey=FXHOOIRPVKKKFG-UHFFFAOYSA-N;303.15;101.0;37.72;0.11316
538741;j.fluid.2008.01.024;2-aminoethanol;NCCO;9007-33-4;InChIKey=HZAXFHJVJLSVMW-UHFFFAOYSA-N;303.15;101.0;31.46;0.09438
538742;j.fluid.2008.01.024;2-dimethylaminoethanol;CN(C)CCO;108-01-0;InChIKey=UEEJHVSXFDXPFK-UHFFFAOYSA-N;303.15;101.0;17.18;0.05154
559777;j.fluid.2009.07.009;2-dimethylaminoethanol;CN(C)CCO;108-01-0;InChIKey=UEEJHVSXFDXPFK-UHFFFAOYSA-N;303.15;101.325;17.18;0.05154
559778;j.fluid.2009.07.009;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;303.15;101.325;23.87;0.07161
559779;j.fluid.2009.07.009;1,2-ethanediol;OCCO;37221-95-7;InChIKey=LYCAIKOWRPUZTN-UHFFFAOYSA-N;303.15;101.325;39.84;0.11952
559780;j.fluid.2009.07.009;glycerol;OCC(O)CO;8043-29-6;InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N;303.15;101.325;41.17;0.12351
559781;j.fluid.2009.07.009;formamide;NC=O;23296-41-5;InChIKey=ZHNUHDYFZUAESO-UHFFFAOYSA-N;303.15;101.325;106.14;0.31842
559782;j.fluid.2009.07.009;N,N-dimethylformamide;CN(C)C=O;68-12-2;InChIKey=ZMXDDKWLCZADIW-UHFFFAOYSA-N;303.15;101.325;36.55;0.10965
559783;j.fluid.2009.07.009;N,N-dimethylacetamide;CN(C)C(C)=O;127-19-5;InChIKey=FXHOOIRPVKKKFG-UHFFFAOYSA-N;303.15;101.325;37.72;0.11316
949771;je060248p;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;298.15;50000.0;34.43;0.03443
949772;je060248p;methanol;CO;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;298.15;100000.0;35.7;0.0357
949779;je060248p;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;298.15;50000.0;25.56;0.02556
949780;je060248p;ethanol;CCO;121182-78-3;InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N;298.15;100000.0;26.46;0.02646
949787;je060248p;1-propanol;CCCO;71-23-8;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;298.15;50000.0;21.3;0.0213
949788;je060248p;1-propanol;CCCO;71-23-8;InChIKey=BDERNNFJNOPAEC-UHFFFAOYSA-N;298.15;100000.0;21.98;0.02198
949795;je060248p;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;298.15;50000.0;18.29;0.01829
949796;je060248p;1-butanol;CCCCO;107569-51-7;InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N;298.15;100000.0;18.87;0.01887
949803;je060248p;1-pentanol;CCCCCO;71-41-0;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;298.15;50000.0;15.62;0.01562
949804;je060248p;1-pentanol;CCCCCO;71-41-0;InChIKey=AMQJEAYHLZJPGS-UHFFFAOYSA-N;298.15;100000.0;16.12;0.01612
949811;je060248p;1-hexanol;CCCCCCO;25917-35-5;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;298.15;50000.0;13.63;0.01363
949812;je060248p;1-hexanol;CCCCCCO;25917-35-5;InChIKey=ZSIAUFGUXNUGDI-UHFFFAOYSA-N;298.15;100000.0;14.07;0.01407
949819;je060248p;1-heptanol;CCCCCCCO;53535-33-4;InChIKey=BBMCTIGTTCKYKF-UHFFFAOYSA-N;298.15;50000.0;11.92;0.01192
949820;je060248p;1-heptanol;CCCCCCCO;53535-33-4;InChIKey=BBMCTIGTTCKYKF-UHFFFAOYSA-N;298.15;100000.0;12.32;0.01232
949827;je060248p;1-octanol;CCCCCCCCO;220713-26-8;InChIKey=KBPLFHHGFOOTCA-UHFFFAOYSA-N;298.15;50000.0;10.48;0.01048
949828;je060248p;1-octanol;CCCCCCCCO;220713-26-8;InChIKey=KBPLFHHGFOOTCA-UHFFFAOYSA-N;298.15;100000.0;10.84;0.01084
984409;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;303.7;6300.0;5.34;0.01
984410;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;303.7;8000.0;5.37;0.01
984411;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;303.7;10200.0;5.41;0.01
984412;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;303.7;12200.0;5.44;0.01
984413;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;303.7;14200.0;5.47;0.01
984414;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;303.7;16300.0;5.5;0.01
984415;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;303.7;17600.0;5.52;0.01
984416;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;303.7;20200.0;5.56;0.01
984417;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;303.7;22400.0;5.59;0.01
984418;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;303.7;24200.0;5.62;0.01
984419;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;303.7;25900.0;5.64;0.01
984420;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;303.7;27500.0;5.66;0.01
984421;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;313.3;2300.0;5.0;0.01
984422;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;313.3;4400.0;5.05;0.01
984423;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;313.3;6300.0;5.1;0.01
984424;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;313.3;8300.0;5.14;0.01
984425;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;313.3;10200.0;5.16;0.01
984426;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;313.3;12200.0;5.2;0.01
984427;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;313.3;14300.0;5.24;0.01
984428;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;313.3;16300.0;5.27;0.01
984429;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;313.3;18000.0;5.3;0.01
984430;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;313.3;20400.0;5.33;0.01
984431;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;313.3;22000.0;5.35;0.01
984432;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;313.3;24300.0;5.39;0.01
984433;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;313.3;26100.0;5.41;0.01
984434;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;313.3;28200.0;5.44;0.01
984435;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;313.3;29600.0;5.46;0.01
984436;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;323.0;1300.0;4.72;0.01
984437;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;323.0;2200.0;4.74;0.01
984438;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;323.0;4200.0;4.8;0.01
984439;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;323.0;6200.0;4.85;0.01
984440;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;323.0;8200.0;4.89;0.01
984441;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;323.0;10400.0;4.93;0.01
984442;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;323.0;12400.0;4.97;0.01
984443;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;323.0;14200.0;5.01;0.01
984444;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;323.0;16400.0;5.04;0.01
984445;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;323.0;18300.0;5.07;0.01
984446;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;323.0;19800.0;5.1;0.01
984447;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;323.0;22000.0;5.13;0.01
984448;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;323.0;24000.0;5.17;0.01
984449;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;323.0;26300.0;5.2;0.01
984450;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;323.0;27900.0;5.23;0.01
984451;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;323.0;29400.0;5.25;0.01
984452;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;323.0;31200.0;5.27;0.01
984453;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;333.4;2200.0;4.46;0.01
984454;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;333.4;4300.0;4.52;0.01
984455;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;333.4;6400.0;4.58;0.01
984456;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;333.4;8300.0;4.62;0.01
984457;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;333.4;10200.0;4.67;0.01
984458;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;333.4;12200.0;4.71;0.01
984459;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;333.4;14000.0;4.74;0.01
984460;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;333.4;15800.0;4.78;0.01
984461;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;333.4;17200.0;4.81;0.01
984462;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;333.4;22000.0;4.89;0.01
984463;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;333.4;23800.0;4.92;0.01
984464;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;333.4;25800.0;4.95;0.01
984465;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;333.4;27600.0;4.97;0.01
984466;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;333.4;29400.0;4.99;0.01
984467;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;343.2;2600.0;4.21;0.01
