;filename;components;SMILES;CAS;InChI;Temperature, K;Pressure, kPa;Relative permittivity at zero frequency;Relative permittivity at zero frequency_std
984468;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;343.2;4000.0;4.25;0.01
984469;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;343.2;6000.0;4.32;0.01
984470;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;343.2;8200.0;4.38;0.01
984471;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;343.2;10200.0;4.43;0.01
984472;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;343.2;12200.0;4.48;0.01
984473;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;343.2;14400.0;4.52;0.01
984474;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;343.2;16300.0;4.56;0.01
984475;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;343.2;18000.0;4.59;0.01
984476;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;343.2;20200.0;4.64;0.01
984477;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;343.2;21900.0;4.67;0.01
984478;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;343.2;23400.0;4.69;0.01
984479;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;343.2;27700.0;4.76;0.01
984480;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;343.2;30400.0;4.8;0.01
984481;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;343.2;33200.0;4.84;0.01
984482;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;353.1;2200.0;3.92;0.01
984483;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;353.1;4000.0;3.98;0.01
984484;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;353.1;6400.0;4.07;0.01
984485;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;353.1;8200.0;4.13;0.01
984486;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;353.1;10200.0;4.19;0.01
984487;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;353.1;12200.0;4.24;0.01
984488;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;353.1;14200.0;4.29;0.01
984489;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;353.1;16100.0;4.33;0.01
984490;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;353.1;18200.0;4.38;0.01
984491;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;353.1;20000.0;4.42;0.01
984492;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;353.1;21800.0;4.45;0.01
984493;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;353.1;24000.0;4.49;0.01
984494;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;353.1;25800.0;4.52;0.01
984495;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;353.1;27700.0;4.55;0.01
984496;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;353.1;29800.0;4.58;0.01
984497;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;363.4;2800.0;3.63;0.01
984498;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;363.4;4200.0;3.71;0.01
984499;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;363.4;6200.0;3.8;0.01
984500;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;363.4;8000.0;3.88;0.01
984501;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;363.4;10200.0;3.95;0.01
984502;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;363.4;12200.0;4.01;0.01
984503;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;363.4;14200.0;4.06;0.01
984504;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;363.4;16000.0;4.11;0.01
984505;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;363.4;18000.0;4.16;0.01
984506;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;363.4;20000.0;4.2;0.01
984507;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;363.4;22000.0;4.24;0.01
984508;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;363.4;24000.0;4.28;0.01
984509;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;363.4;26000.0;4.31;0.01
984510;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;363.4;28000.0;4.35;0.01
984511;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;363.4;30500.0;4.4;0.01
984512;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;372.9;3400.0;3.38;0.01
984513;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;372.9;4200.0;3.44;0.01
984514;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;372.9;6100.0;3.57;0.01
984515;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;372.9;8300.0;3.66;0.01
984516;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;372.9;10200.0;3.73;0.01
984517;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;372.9;12200.0;3.81;0.01
984518;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;372.9;14400.0;3.88;0.01
984519;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;372.9;16200.0;3.91;0.01
984520;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;372.9;18300.0;3.96;0.01
984521;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;372.9;20000.0;4.0;0.01
984522;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;372.9;22300.0;4.05;0.01
984523;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;372.9;24100.0;4.09;0.01
984524;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;372.9;26200.0;4.14;0.01
984525;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;372.9;27800.0;4.16;0.01
984526;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;372.9;29200.0;4.18;0.01
984527;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;382.9;4000.0;3.08;0.01
984528;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;382.9;6200.0;3.31;0.01
984529;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;382.9;8100.0;3.43;0.01
984530;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;382.9;10000.0;3.53;0.01
984531;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;382.9;12300.0;3.62;0.01
984532;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;382.9;14200.0;3.68;0.01
984533;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;382.9;16100.0;3.74;0.01
984534;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;382.9;18000.0;3.79;0.01
984535;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;382.9;20000.0;3.84;0.01
984536;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;382.9;22000.0;3.89;0.01
984537;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;382.9;24000.0;3.93;0.01
984538;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;382.9;26000.0;3.97;0.01
984539;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;382.9;27900.0;4.01;0.01
984540;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;382.9;30100.0;4.05;0.01
984541;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;393.0;6200.0;3.01;0.01
984542;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;393.0;8400.0;3.21;0.01
984543;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;393.0;10000.0;3.3;0.01
984544;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;393.0;12300.0;3.4;0.01
984545;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;393.0;14200.0;3.47;0.01
984546;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;393.0;16200.0;3.54;0.01
984547;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;393.0;18200.0;3.6;0.01
984548;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;393.0;20000.0;3.65;0.01
984549;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;393.0;22000.0;3.7;0.01
984550;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;393.0;24000.0;3.75;0.01
984551;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;393.0;26000.0;3.79;0.01
984552;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;393.0;27800.0;3.83;0.01
984553;je060283w;methoxymethane;COC;115-10-6;InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N;393.0;29500.0;3.86;0.01
1119485;je200682t;cyclobutanone;O=C1CCC1;1191-95-3;InChIKey=SHQSVMDWKBRBGB-UHFFFAOYSA-N;250.65;101.325;17.51;0.01
1119486;je200682t;cyclobutanone;O=C1CCC1;1191-95-3;InChIKey=SHQSVMDWKBRBGB-UHFFFAOYSA-N;253.15;101.325;17.37;0.01
1119487;je200682t;cyclobutanone;O=C1CCC1;1191-95-3;InChIKey=SHQSVMDWKBRBGB-UHFFFAOYSA-N;255.65;101.325;17.22;0.01
1119488;je200682t;cyclobutanone;O=C1CCC1;1191-95-3;InChIKey=SHQSVMDWKBRBGB-UHFFFAOYSA-N;258.15;101.325;17.07;0.01
1119489;je200682t;cyclobutanone;O=C1CCC1;1191-95-3;InChIKey=SHQSVMDWKBRBGB-UHFFFAOYSA-N;260.65;101.325;16.93;0.01
1119490;je200682t;cyclobutanone;O=C1CCC1;1191-95-3;InChIKey=SHQSVMDWKBRBGB-UHFFFAOYSA-N;263.15;101.325;16.79;0.01
1119491;je200682t;cyclobutanone;O=C1CCC1;1191-95-3;InChIKey=SHQSVMDWKBRBGB-UHFFFAOYSA-N;265.65;101.325;16.65;0.01
1119492;je200682t;cyclobutanone;O=C1CCC1;1191-95-3;InChIKey=SHQSVMDWKBRBGB-UHFFFAOYSA-N;268.15;101.325;16.51;0.01
1119493;je200682t;cyclobutanone;O=C1CCC1;1191-95-3;InChIKey=SHQSVMDWKBRBGB-UHFFFAOYSA-N;270.65;101.325;16.37;0.01
1119494;je200682t;cyclobutanone;O=C1CCC1;1191-95-3;InChIKey=SHQSVMDWKBRBGB-UHFFFAOYSA-N;273.15;101.325;16.24;0.01
1119495;je200682t;cyclobutanone;O=C1CCC1;1191-95-3;InChIKey=SHQSVMDWKBRBGB-UHFFFAOYSA-N;275.65;101.325;16.11;0.01
1119496;je200682t;cyclobutanone;O=C1CCC1;1191-95-3;InChIKey=SHQSVMDWKBRBGB-UHFFFAOYSA-N;278.15;101.325;15.98;0.01
1119497;je200682t;cyclobutanone;O=C1CCC1;1191-95-3;InChIKey=SHQSVMDWKBRBGB-UHFFFAOYSA-N;280.65;101.325;15.85;0.01
1119498;je200682t;cyclobutanone;O=C1CCC1;1191-95-3;InChIKey=SHQSVMDWKBRBGB-UHFFFAOYSA-N;283.15;101.325;15.72;0.01
1119499;je200682t;cyclobutanone;O=C1CCC1;1191-95-3;InChIKey=SHQSVMDWKBRBGB-UHFFFAOYSA-N;285.65;101.325;15.58;0.01
1119500;je200682t;cyclobutanone;O=C1CCC1;1191-95-3;InChIKey=SHQSVMDWKBRBGB-UHFFFAOYSA-N;288.15;101.325;15.46;0.01
1119501;je200682t;cyclobutanone;O=C1CCC1;1191-95-3;InChIKey=SHQSVMDWKBRBGB-UHFFFAOYSA-N;290.65;101.325;15.33;0.01
1119502;je200682t;cyclobutanone;O=C1CCC1;1191-95-3;InChIKey=SHQSVMDWKBRBGB-UHFFFAOYSA-N;293.15;101.325;15.2;0.01
1119503;je200682t;cyclobutanone;O=C1CCC1;1191-95-3;InChIKey=SHQSVMDWKBRBGB-UHFFFAOYSA-N;295.65;101.325;15.08;0.01
1119504;je200682t;cyclobutanone;O=C1CCC1;1191-95-3;InChIKey=SHQSVMDWKBRBGB-UHFFFAOYSA-N;298.15;101.325;14.96;0.01
1119505;je200682t;cyclobutanone;O=C1CCC1;1191-95-3;InChIKey=SHQSVMDWKBRBGB-UHFFFAOYSA-N;300.65;101.325;14.84;0.01
1119506;je200682t;cyclobutanone;O=C1CCC1;1191-95-3;InChIKey=SHQSVMDWKBRBGB-UHFFFAOYSA-N;303.15;101.325;14.72;0.01
1119507;je200682t;cyclobutanone;O=C1CCC1;1191-95-3;InChIKey=SHQSVMDWKBRBGB-UHFFFAOYSA-N;305.65;101.325;14.6;0.01
1119508;je200682t;cyclobutanone;O=C1CCC1;1191-95-3;InChIKey=SHQSVMDWKBRBGB-UHFFFAOYSA-N;308.15;101.325;14.48;0.01
1119509;je200682t;cyclobutanone;O=C1CCC1;1191-95-3;InChIKey=SHQSVMDWKBRBGB-UHFFFAOYSA-N;310.65;101.325;14.37;0.01
1119510;je200682t;cyclobutanone;O=C1CCC1;1191-95-3;InChIKey=SHQSVMDWKBRBGB-UHFFFAOYSA-N;313.15;101.325;14.25;0.01
1119514;je200682t;cyclopentanone;O=C1CCCC1;120-92-3;InChIKey=BGTOWKSIORTVQH-UHFFFAOYSA-N;250.65;101.325;15.36;0.02
1119515;je200682t;cyclopentanone;O=C1CCCC1;120-92-3;InChIKey=BGTOWKSIORTVQH-UHFFFAOYSA-N;253.15;101.325;15.26;0.02
1119516;je200682t;cyclopentanone;O=C1CCCC1;120-92-3;InChIKey=BGTOWKSIORTVQH-UHFFFAOYSA-N;255.65;101.325;15.15;0.02
1119517;je200682t;cyclopentanone;O=C1CCCC1;120-92-3;InChIKey=BGTOWKSIORTVQH-UHFFFAOYSA-N;258.15;101.325;15.05;0.02
1119518;je200682t;cyclopentanone;O=C1CCCC1;120-92-3;InChIKey=BGTOWKSIORTVQH-UHFFFAOYSA-N;260.65;101.325;14.95;0.02
1119519;je200682t;cyclopentanone;O=C1CCCC1;120-92-3;InChIKey=BGTOWKSIORTVQH-UHFFFAOYSA-N;263.15;101.325;14.85;0.02
1119520;je200682t;cyclopentanone;O=C1CCCC1;120-92-3;InChIKey=BGTOWKSIORTVQH-UHFFFAOYSA-N;265.65;101.325;14.75;0.02
1119521;je200682t;cyclopentanone;O=C1CCCC1;120-92-3;InChIKey=BGTOWKSIORTVQH-UHFFFAOYSA-N;268.15;101.325;14.65;0.02
1119522;je200682t;cyclopentanone;O=C1CCCC1;120-92-3;InChIKey=BGTOWKSIORTVQH-UHFFFAOYSA-N;270.65;101.325;14.55;0.02
1119523;je200682t;cyclopentanone;O=C1CCCC1;120-92-3;InChIKey=BGTOWKSIORTVQH-UHFFFAOYSA-N;273.15;101.325;14.45;0.02
1119524;je200682t;cyclopentanone;O=C1CCCC1;120-92-3;InChIKey=BGTOWKSIORTVQH-UHFFFAOYSA-N;275.65;101.325;14.35;0.02
1119525;je200682t;cyclopentanone;O=C1CCCC1;120-92-3;InChIKey=BGTOWKSIORTVQH-UHFFFAOYSA-N;278.15;101.325;14.25;0.02
1119526;je200682t;cyclopentanone;O=C1CCCC1;120-92-3;InChIKey=BGTOWKSIORTVQH-UHFFFAOYSA-N;280.65;101.325;14.15;0.02
1119527;je200682t;cyclopentanone;O=C1CCCC1;120-92-3;InChIKey=BGTOWKSIORTVQH-UHFFFAOYSA-N;283.15;101.325;14.06;0.02
1119528;je200682t;cyclopentanone;O=C1CCCC1;120-92-3;InChIKey=BGTOWKSIORTVQH-UHFFFAOYSA-N;285.65;101.325;13.96;0.02
1119529;je200682t;cyclopentanone;O=C1CCCC1;120-92-3;InChIKey=BGTOWKSIORTVQH-UHFFFAOYSA-N;288.15;101.325;13.86;0.02
1119530;je200682t;cyclopentanone;O=C1CCCC1;120-92-3;InChIKey=BGTOWKSIORTVQH-UHFFFAOYSA-N;290.65;101.325;13.77;0.02
1119531;je200682t;cyclopentanone;O=C1CCCC1;120-92-3;InChIKey=BGTOWKSIORTVQH-UHFFFAOYSA-N;293.15;101.325;13.67;0.02
1119532;je200682t;cyclopentanone;O=C1CCCC1;120-92-3;InChIKey=BGTOWKSIORTVQH-UHFFFAOYSA-N;295.65;101.325;13.58;0.02
1119533;je200682t;cyclopentanone;O=C1CCCC1;120-92-3;InChIKey=BGTOWKSIORTVQH-UHFFFAOYSA-N;298.15;101.325;13.49;0.02
1119534;je200682t;cyclopentanone;O=C1CCCC1;120-92-3;InChIKey=BGTOWKSIORTVQH-UHFFFAOYSA-N;300.65;101.325;13.39;0.02
1119535;je200682t;cyclopentanone;O=C1CCCC1;120-92-3;InChIKey=BGTOWKSIORTVQH-UHFFFAOYSA-N;303.15;101.325;13.3;0.02
1119536;je200682t;cyclopentanone;O=C1CCCC1;120-92-3;InChIKey=BGTOWKSIORTVQH-UHFFFAOYSA-N;305.65;101.325;13.22;0.02
1119537;je200682t;cyclopentanone;O=C1CCCC1;120-92-3;InChIKey=BGTOWKSIORTVQH-UHFFFAOYSA-N;308.15;101.325;13.13;0.02
1119538;je200682t;cyclopentanone;O=C1CCCC1;120-92-3;InChIKey=BGTOWKSIORTVQH-UHFFFAOYSA-N;310.65;101.325;13.04;0.02
1119539;je200682t;cyclopentanone;O=C1CCCC1;120-92-3;InChIKey=BGTOWKSIORTVQH-UHFFFAOYSA-N;313.15;101.325;12.95;0.02
1119543;je200682t;cyclohexanone;O=C1CCCCC1;11119-77-0;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;250.65;101.325;19.13;0.01
1119544;je200682t;cyclohexanone;O=C1CCCCC1;11119-77-0;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;253.15;101.325;18.93;0.01
1119545;je200682t;cyclohexanone;O=C1CCCCC1;11119-77-0;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;255.65;101.325;18.73;0.01
1119546;je200682t;cyclohexanone;O=C1CCCCC1;11119-77-0;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;258.15;101.325;18.54;0.01
1119547;je200682t;cyclohexanone;O=C1CCCCC1;11119-77-0;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;260.65;101.325;18.34;0.01
1119548;je200682t;cyclohexanone;O=C1CCCCC1;11119-77-0;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;263.15;101.325;18.15;0.01
1119549;je200682t;cyclohexanone;O=C1CCCCC1;11119-77-0;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;265.65;101.325;17.96;0.01
1119550;je200682t;cyclohexanone;O=C1CCCCC1;11119-77-0;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;268.15;101.325;17.78;0.01
1119551;je200682t;cyclohexanone;O=C1CCCCC1;11119-77-0;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;270.65;101.325;17.6;0.01
1119552;je200682t;cyclohexanone;O=C1CCCCC1;11119-77-0;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;273.15;101.325;17.42;0.01
1119553;je200682t;cyclohexanone;O=C1CCCCC1;11119-77-0;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;275.65;101.325;17.24;0.01
1119554;je200682t;cyclohexanone;O=C1CCCCC1;11119-77-0;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;278.15;101.325;17.07;0.01
1119555;je200682t;cyclohexanone;O=C1CCCCC1;11119-77-0;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;280.65;101.325;16.9;0.01
1119556;je200682t;cyclohexanone;O=C1CCCCC1;11119-77-0;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;283.15;101.325;16.73;0.01
1119557;je200682t;cyclohexanone;O=C1CCCCC1;11119-77-0;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;285.65;101.325;16.56;0.01
1119558;je200682t;cyclohexanone;O=C1CCCCC1;11119-77-0;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;288.15;101.325;16.4;0.01
1119559;je200682t;cyclohexanone;O=C1CCCCC1;11119-77-0;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;290.65;101.325;16.24;0.01
1119560;je200682t;cyclohexanone;O=C1CCCCC1;11119-77-0;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;293.15;101.325;16.08;0.01
1119561;je200682t;cyclohexanone;O=C1CCCCC1;11119-77-0;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;295.65;101.325;15.92;0.01
1119562;je200682t;cyclohexanone;O=C1CCCCC1;11119-77-0;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;298.15;101.325;15.77;0.01
1119563;je200682t;cyclohexanone;O=C1CCCCC1;11119-77-0;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;300.65;101.325;15.62;0.01
1119564;je200682t;cyclohexanone;O=C1CCCCC1;11119-77-0;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;303.15;101.325;15.46;0.01
1119565;je200682t;cyclohexanone;O=C1CCCCC1;11119-77-0;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;305.65;101.325;15.32;0.01
1119566;je200682t;cyclohexanone;O=C1CCCCC1;11119-77-0;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;308.15;101.325;15.17;0.01
1119567;je200682t;cyclohexanone;O=C1CCCCC1;11119-77-0;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;310.65;101.325;15.03;0.01
1119568;je200682t;cyclohexanone;O=C1CCCCC1;11119-77-0;InChIKey=JHIVVAPYMSGYDF-UHFFFAOYSA-N;313.15;101.325;14.89;0.01
1119571;je200682t;cycloheptanone;O=C1CCCCCC1;502-42-1;InChIKey=CGZZMOTZOONQIA-UHFFFAOYSA-N;250.65;101.325;15.09;0.01
